title,abstract,year,tokens
Exhaustiveness of Systems Structures in Model-based Systems Engineering for Mechatronic Systems,"The increasing complexity of mechatronic systems results in a challenging development process. In an interdisciplinary design environment, the communication and cooperation between the disciplines is necessary to establish a basis for efficient and effective product development. The approach of MBSE focuses on this aspect by means of an abstract description of the system structure. The system structure is created and read by different persons. It is crucial that these semi-formal models, considered by very different stakeholders, are build up comparably and exhaustively. Nowadays there is no way to check the model of exhaustiveness. We classified model elements and derived modeling guidelines enabling the model-user to create comparable and exhaustive system structures.",2016,"increasing mechatronic result challenging . interdisciplinary environment , communication cooperation discipline necessary establish basis efficient effective . focus aspect mean description structure . structure created read different person . crucial semi-formal , considered different stakeholder , build comparably exhaustively . nowadays way check exhaustiveness . classified element derived guideline enabling model-user create comparable exhaustive structure ."
Geometric Variability in Parametric 3D Models: Implications for Engineering Design,"Modern manufacturing companies operate in environments characterized by increasingly shorter development cycles and the need to develop highly customizable products at competitive prices. In this paper, we examine the role of parametric 3D modeling in the product development process, and highlight the importance of robustness, flexibility, and responsiveness to geometric variations, which are particularly relevant in the context of the Model-Based Enterprise (MBE). We discuss the often-inefficient parametric 3D modeling practices used in industry, their root causes and implications, and identify the detrimental effects of low-quality models on engineering design activities, specifically design changes during development, generative design algorithms, design optimization, simulation, product/part family configuration, AI-based parametric modeling, Model-Based System Engineering (MBSE), and parametric and adaptive encryption. Finally, we present future lines of research aimed at increasing the quality of parametric models.",2022,"modern manufacturing company operate environment characterized increasingly shorter cycle need develop highly customizable competitive price . , examine role parametric , highlight importance robustness , flexibility , responsiveness geometric variation , particularly relevant context model-based enterprise ( mbe ) . discus often-inefficient parametric practice industry , root cause implication , identify detrimental effect low-quality activity , specifically change , generative algorithm , optimization , , product/part family configuration , ai-based parametric , model-based ( ) , parametric adaptive encryption . finally , present future line research aimed increasing quality parametric ."
Integrating Environmental Impacts with SysML in MBSE Methods,"The continuously growing integration of mechanics, electronics, and informatics into modern products introduces a considerable complexity into product development activities. Model-Based Systems Engineering (MBSE) methods are one approach to handle this complexity. Eco-design methods, which are also increasingly important due to sustainability focus of many companies, is not fully implemented or even not taken into account at all in MBSE methods. Therefore, this paper aims at integrating the environmental impacts of a mechatronic product in a MBSE method using Systems Modelling Language (SysML).",2017,"continuously growing integration mechanic , electronics , informatics modern introduces considerable activity . model-based ( ) one handle . eco-design , increasingly important due sustainability focus many company , fully implemented even taken account . therefore , aim integrating environmental impact mechatronic modelling ( ) ."
Integration of Communication using OPC UA in MBSE for the Development of Cyber-Physical Systems,"Interoperability of Cyber-Physical Systems in the context of Industry 4.0 is currently not explicitly considered during product development leading to compatibility problems during commissioning and usage. This paper addresses the research question of integrating interoperability based on OPC UA Companion Specifications and its building blocks into Model-Based Sytems Engineering (MBSE). For this purpose, a system modeled in SysML is extended by the requirements resulting from communication via OPC UA. The generated information model is integrated into the OPC UA server, enabling interoperability between Cyber-Physical Systems. A prototypical implementation validates the approach.",2022,"interoperability cyber-physical context industry . currently explicitly considered leading compatibility problem commissioning usage . address research question integrating interoperability opc ua companion specification building block model-based sytems ( ) . purpose , modeled extended resulting communication via opc ua . generated integrated opc ua server , enabling interoperability cyber-physical . prototypical implementation validates ."
Using MBSE to Enhance System Design Decision Making,"When developing new systems, developers are challenged with tracing requirements to system design elements and helping decision makers choose between designs options that implement these requirements; options which may have vastly different cost, supportability, and business implications. Model-Based Systems Engineering (MBSE) has emerged as viable method for graphically tracing requirements to design elements, however, additional research is needed on using the resulting views to support decision making. This paper describes a method for using MBSE views to positively map requirements, metrics, and test cases against the design of a notional system with a focus on using the views for effective decision making.",2012,"developing new , developer challenged tracing element helping decision maker choose option implement ; option may vastly different cost , supportability , business implication . model-based ( ) emerged viable graphically tracing element , , additional research needed resulting view support decision making . describes view positively map , metric , test case notional focus view effective decision making ."
Industrial Design and Development Software System Architecture Based on Model-Based Systems Engineering and Cloud Computing,"Oriented to the new generation of cyber-physical manufacturing, this paper introduces two breakthroughs of industrial design and development software system: model-based systems engineering (MBSE) and cloud computing. Based on the classic V model for product development, an MBSE double-Vs model is refined which takes both model life-cycle and product life-cycle into consideration for design process re-engineering. Then cloud computing and its re-structuring on traditional industrial software system are discussed. Shift from classic single approach, this research proposes an industrial design and development software system architecture based on model-based systems engineering (MBSE) and cloud computing. The new architecture is shown in a stereoscopic way which amply utilizes the respective advantages of MBSE and cloud computing. At the end of the paper, as an example of actual cases, a flight management system (FMS) design and development platform is detailed to verify the effectiveness of this new architecture. The implement of new system architecture creates an efficient collaborative mechanism for FMS developing.",2021,"oriented new generation cyber-physical manufacturing , introduces two breakthrough industrial software : model-based ( ) cloud computing . classic v , double-vs refined take life-cycle life-cycle consideration re-engineering . cloud computing re-structuring traditional industrial software discussed . shift classic single , research proposes industrial software model-based ( ) cloud computing . new shown stereoscopic way amply utilizes respective advantage cloud computing . end , actual case , flight management ( fm ) platform detailed verify effectiveness new . implement new creates efficient collaborative mechanism fm developing ."
Beyond Model-Based Systems Engineering towards Managing Complexity,"Systems Engineering domain lacks in methodologies for integration of development artefacts (e.g. requirements, functions, geometrics, or behavior) and enterprise models (e.g. organizational structures, processes, or IT infrastructure). Especially the rising complexity driven by integrated product service systems, smart services, systems of systems and cyber physical systems (CPS) leads to a new paradigm further on called Advanced Systems Engineering (ASE). It empowers enterprises to cope with such complex developments. The employment of ASE technologies in design and manufacturing enterprises requires a reachability of technical information and continuity along vertical and horizontal dimensions. A widely used approach to implement this is Model-based System Engineering (MBSE). This paper introduces a solution to achieve the goals of manufacturing excellence as well as complexity management by identifying and analyzing relevant requirements and possible approaches for an innovative simulation enabling and executable modelling language, the so-called advanced MBSE+.",2020,"domain lack methodology integration artefact ( e.g . , function , geometrics , behavior ) enterprise ( e.g . organizational structure , , infrastructure ) . especially rising driven integrated service , smart service , cyber physical ( cps ) lead new paradigm called advanced ( ase ) . empowers enterprise cope . employment ase technology manufacturing enterprise requires reachability technical continuity along vertical horizontal dimension . widely implement model-based ( ) . introduces solution achieve goal manufacturing excellence management identifying analyzing relevant possible innovative enabling executable modelling , so-called advanced mbse+ ."
Project-Based Learning for Control of Hybrid Powertrains using a Simulation Model,"This paper describes an activity and assessment in the module “Hybrid and Electric Vehicles” at Loughborough University, which aims to create engagement with the control of hybrid powertrains. A hybrid powertrain uses both an internal combustion engine and a battery powered electric motor, and the goal is to distribute the power demand across both in a way that achieves the “best of both worlds.” It is a slightly unusual but highly popular control problem. The activity uses project-based learning, centred around an open-source simulation model and simulation library specifically created for teaching purposes. It provides a fast, abstract yet representative energy behaviour of the whole vehicle, and visualises key aspects of the powertrain and its energy balance. The assessment task is an open challenge, asking students to improve upon an existing basic control strategy. The marking process involves a computer-based assessment for vehicle economy, drivability, and emissions. This gives learners the opportunity to pursue a practical hands-on exercise, and to demonstrate a realistic engineering approach of their choosing.",2022,"describes activity assessment module “ hybrid electric vehicle ” loughborough university , aim create engagement control hybrid powertrains . hybrid powertrain us internal combustion engine battery powered electric motor , goal distribute power demand across way achieves “ best worlds. ” slightly unusual highly popular control problem . activity us project-based learning , centred around open-source library specifically created teaching purpose . provides fast , yet representative energy behaviour whole vehicle , visualises key aspect powertrain energy balance . assessment task open challenge , asking student improve upon existing basic control strategy . marking involves computer-based assessment vehicle economy , drivability , emission . give learner opportunity pursue practical hands-on exercise , demonstrate realistic choosing ."
Application of model-based systems engineering on a university satellite design team,"System Engineering is a foundation of the Missouri S&T's Satellite Design Team, although it is not explicitly stated at all times. However, implementation of the systems engineering process within a student design team presents unique challenges. Student design teams have a high personnel turnover, a limited time commitment due to classes, some new members have little to no experience, and a sometimes lack of motivation to participate since it is volunteered time. The largest problem on the team is getting the new members knowledgeable about the system so they can start contributing as fast as possible. The other big problem is keeping documentation about the system design consistent and up-to-date. With a model-based approach, system specifications are updated all at once, and kept consistent throughout the design. The model also allows the team leadership to “walkthrough” the design and design process with the newer members. Diagrams sometimes help better explain design than word documents, especially to visual learners. The model will not completely replace documentation, it is used to help augment the learning process for new members, and keep better control of traceability.",2012,"foundation missouri & satellite team , although explicitly stated time . , implementation student team present unique challenge . student team high personnel turnover , limited time commitment due class , new member little experience , sometimes lack motivation participate since volunteered time . largest problem team getting new member knowledgeable start contributing fast possible . big problem keeping documentation consistent up-to-date . model-based , specification updated , kept consistent throughout . allows team leadership “ walkthrough ” newer member . diagram sometimes help better explain word document , especially visual learner . completely replace documentation , help augment learning new member , keep better control traceability ."
Towards collaborative life cycle specification of digital twins in manufacturing value chains,"A digital twin is a digital representation of an unique product or product service system that is sufficient to meet the requirements of a set of use cases. Following this definition, the implementation of a digital twin must be derived from concrete use cases along the life cycle of a product. However, the involvement of a variety of different stakeholders and frequent changes of ownership in the value chain complicate the identification of use cases as well as the specification of the digital twin and its governance. This leads to a need for a systematic approach that enables various partners to implement the digital twins needed for their specific use cases. This paper presents a specification technique that combines aspects from Model-Based Systems Engineering with Product Lifecycle Management to support a collaborative front-end planning and specification of digital twins. It integrates the different views of various digital twin stakeholders (product manager, systems engineer, developer, data scientist etc.) in a collaborative model across the value chain. As part of the systematic approach, a digital twin specification grid that structures guidelines for the aspects of a digital twin (e.g. the data sources) across the product life cycle is provided. The presented approach also supports the derivation of a digital twin by integrating different use cases. This specification technique is the first step towards a holistic, Model-Based Digital Twin Design Framework.",2021,"digital twin digital representation unique service sufficient meet set case . following definition , implementation digital twin must derived concrete case along life cycle . , involvement variety different stakeholder frequent change ownership value chain complicate identification case specification digital twin governance . lead need systematic enables various partner implement digital twin needed specific case . present specification technique combine aspect model-based lifecycle management support collaborative front-end planning specification digital twin . integrates different view various digital twin stakeholder ( manager , engineer , developer , data scientist etc . ) collaborative across value chain . part systematic , digital twin specification grid structure guideline aspect digital twin ( e.g . data source ) across life cycle provided . presented support derivation digital twin integrating different case . specification technique first step towards holistic , model-based digital twin ."
"An original Data, Information and Knowledge management approach for model-based engineering projects","Data, Information and Knowledge (DIK) problematics are of undeniable growing actuality; many efforts were made to explore and make progress in this domain. Therefore, these DIK have been defined by several characteristics conventionally studied such as volume, variety, variability… and a few solutions have been uncovered and revealed. In parallel, the systems Engineering (SE) and specifically Model-Based Systems Engineering (MBSE) approaches, that encourage, among other things, the use of models instead of documents in critical infrastructure engineering namely in the energy infrastructure domain, participate in the growing volume and complexity of DIK. In this particular context, it is important to enrich MBSE by adapting the existing DIK advances to the MBSE needs, which is initiated in this paper, first by providing DIK definition, second, by checking what are the main issues that shall be solved in order to help stakeholders use and manage them in large MBSE-driven projects, involving various business actors during more or less long periods. At last, this article proposes a methodological contribution bridging the supposed gap between MBSE and so-called data management fields of research.",2022,"data , knowledge ( dik ) problematics undeniable growing actuality ; many effort made explore make progress domain . therefore , dik defined several characteristic conventionally studied volume , variety , variability… solution uncovered revealed . parallel , ( se ) specifically model-based ( ) , encourage , among thing , instead document critical infrastructure namely energy infrastructure domain , participate growing volume dik . particular context , important enrich adapting existing dik advance need , initiated , first providing dik definition , second , checking main issue shall solved order help stakeholder manage large mbse-driven , involving various business actor le long period . last , article proposes methodological contribution bridging supposed gap so-called data management field research ."
System interoperability: definition and proposition of interface model in MBSE Context,"System interoperability is an essential feature of any system to be able to interact with other systems during its mission without any problem or anticipating these ones and their effects when necessary. However, Systems Engineering (SE) approach does not clearly takes into account this feature. First, there is no clear definition of system interoperability requirement in SE. Second, there is no relevant interface model in SE with which engineers can model and check system interoperability requirements. This article aims first to define the system interoperability concept. Second it defines and formalizes the notion of interoperability requirement allowing then to enrich the classical requirements repository used in SE domain. Third, it promotes an interface meta model allowing engineers to build and to check interfaces taking into account interoperability requirements in coherence with MBSE hypotheses.",2012,"interoperability essential feature able interact mission without problem anticipating one effect necessary . , ( se ) doe clearly take account feature . first , clear definition interoperability se . second , relevant interface se engineer check interoperability . article aim first define interoperability concept . second defines formalizes notion interoperability allowing enrich classical repository se domain . third , promotes interface meta allowing engineer build check interface taking account interoperability coherence hypothesis ."
An Ontology-based Engineering system to support aircraft manufacturing system design,"During the conceptual design phase of an aircraft manufacturing system, different industrial scenarios need to be evaluated against performance indicators in a collaborative engineering process. Domain experts’ knowledge and the motivations for decision-making is a crucial asset for enterprises which is challenging to be captured and capitalised. Ontology-based Engineering (OBE) systems emerge as a new generation of Knowledge-based Engineering techniques with advancements of ontology engineering methods and computer science technologies. Ontologies enable to capture both explicit and implicit domain knowledge from historical records and domain experts. These Ontology-based Engineering systems can stand highly complex collaborative design processes involving multidisciplinary stakeholders and various digital tools. This paper proposes a tradespace framework with Ontology-based Engineering features included on top of existing Model-Based System Engineering and interoperability capabilities. These additional Ontology-based Engineering features reuse formalised knowledge via knowledge graph technologies and generative algorithms, changing the cognitive process from the designer, to an automatic process which generates design alternatives for the designer. The tradespace framework is demonstrated in a case study to design the aircraft fuselage orbital joint process, helping the designer to take better strategic decisions at conceptual phase and proving to be an advantageous paradigm for the design process.",2023,"conceptual phase aircraft manufacturing , different industrial scenario need evaluated performance indicator collaborative . domain expert ’ knowledge motivation decision-making crucial asset enterprise challenging captured capitalised . ontology-based ( obe ) emerge new generation knowledge-based technique advancement ontology computer science technology . ontology enable capture explicit implicit domain knowledge historical record domain expert . ontology-based stand highly collaborative involving multidisciplinary stakeholder various digital . proposes tradespace ontology-based feature included top existing model-based interoperability capability . additional ontology-based feature reuse formalised knowledge via knowledge graph technology generative algorithm , changing cognitive designer , automatic generates alternative designer . tradespace demonstrated case study aircraft fuselage orbital joint , helping designer take better strategic decision conceptual phase proving advantageous paradigm ."
Capturing Experimental Design Insights in Support of the Model-based System Engineering Approach,"Model-Based Systems Engineering (MBSE) continues to mature into a popular approach as systems become more complex. Integrating MBSE architectural diagrams with external simulations that model a variety of different domains allows designers to perform sophisticated engineering design and analysis. To better understand how these external models support design decisions, we can leverage the statistical methods of design of experiments to identify insights into a complex system design problem. These insights include identifying the most important design parameters, the nature of their behaviour, their synergies between them, their diminishing or increasing rates of change, and thresholds that achieve a desired level of effectiveness. The purpose of this paper is to propose a MBSE methodology that captures the insights identified during an experimental design study within the integrated system model while applying the MBSE approach.",2015,"model-based ( ) continues mature popular become . integrating architectural diagram external variety different domain allows designer perform sophisticated . better understand external support decision , leverage statistical experiment identify insight problem . insight include identifying important parameter , nature behaviour , synergy , diminishing increasing rate change , threshold achieve desired level effectiveness . purpose propose methodology capture insight identified experimental study integrated applying ."
An Integrated Intelligent Modeling and Simulation Language for Model-based Systems Engineering,"Modeling and simulation are now leading the way in supporting analysis and development of system of systems. At present, to support the unified modeling formalism and dynamic simulation for different domain specific models across MBSE process, system modeling languages (such as SysML) are often required to cooperate with multi-physics modeling languages and simulation platforms (such as Modelica, Simulink), which makes it challenging to ensure the true unity of the whole system models, the consistency between the various system layers and the traceability of the modeling and simulation processes. In response to the above problems, this paper develops a new integrated intelligent modeling and simulation language, which can uniformly describe the system-level architecture and physical behavior models as a whole. On this basis, models can be simulated directly to support system verification for MBSE. Compiler and simulation engine are developed to enable X language to support the simulation of continuous, discrete event and agent models. Finally, an intelligent car system is taken as a case to verify the modeling and simulation capabilities of X language.",2022,"leading way supporting . present , support unified formalism dynamic different domain specific across , ( ) often required cooperate multi-physics platform ( modelica , simulink ) , make challenging ensure true unity whole , consistency various layer traceability . response problem , develops new integrated intelligent , uniformly describe system-level physical behavior whole . basis , simulated directly support verification . compiler engine developed enable x support continuous , discrete event agent . finally , intelligent car taken case verify capability x ."
Model-based Systems Engineering of Discrete Production Lines Using SysML: An Experience Report,"During the design of complex mechatronic systems, multiple engineering teams covering disciplines such as mechanics, electronics, control and safety must cooperate and exchange information. Today's state-of-the-practice systems engineering methodologies rely on document-based approaches to elicit and manage requirements, describe the system architecture, log design decisions and exchange this information between the project members. Unfortunately, the informal character of the documents causes misinterpretations, generates inconsistencies and prohibits the use of computer power for validation. Model-based Systems Engineering techniques promise to alleviate some of these issues. SysML is a formal graphical modeling language that aims to support this model-based design of complex multidisciplinary systems. Yet, as SysML is a general-purpose language intended to cover a broad range of systems, applying SysML to a specific domain such as production lines is not a trivial task. In this paper, we present some experiences and limitations encountered when applying and tailoring SysML 1.4 to support the systems engineering process of an industrial use case: the design of a production line by a multi-disciplinary team across several companies, consisting of process experts, control engineers, thermal designers, software engineers, mechanical designers, signal processing experts, roboticists and embedded hardware designers.",2017,"mechatronic , multiple team covering discipline mechanic , electronics , control safety must cooperate exchange . today state-of-the-practice methodology rely document-based elicit manage , describe , log decision exchange member . unfortunately , informal character document cause misinterpretation , generates inconsistency prohibits computer power validation . model-based technique promise alleviate issue . formal graphical aim support model-based multidisciplinary . yet , general-purpose intended cover broad range , applying specific domain production line trivial task . , present experience limitation encountered applying tailoring . support industrial case : production line multi-disciplinary team across several company , consisting expert , control engineer , thermal designer , software engineer , mechanical designer , signal processing expert , roboticists embedded hardware designer ."
Toward an Experiential Design Language: Augmenting Model-based Systems Engineering with Technical Storytelling in Virtual Worlds,"Systems engineering has made significant strides over the last decade with the advent of Model Based Systems Engineering (MBSE) and the Systems Engineering Markup Language (SysML). These advances have made it possible for collaborative engineering teams to communicate using a common language and share information in the form of digital models rather than hard-to-maintain paper documents. One major advance that needs to occur next is enhancing systems engineering languages to address the needs of all stakeholders especially non-engineers. In this paper, we advance the proposition that recent advances in systems modeling, virtual world building, and technical storytelling are the key enablers of next generation systems engineering and systems engineering languages. To this end, this paper presents an innovative approach for developing an experiential design language that augments existing systems engineering language (i.e., SysML) with new perspectives informed by exploration and storytelling in virtual worlds. This language is intended to allow all stakeholders to understand and collaborate on system designs without having to learn engineering notation, and bring to bear their unique perspectives during collaborative system design. Furthermore, immersive experiences made possible by storytelling in the virtual world can potentially illuminate key system interactions and behaviors, allowing all stakeholders to make meaningful contributions in upfront systems engineering. The benefits and payoffs of the experiential design language are: increased participation of all stakeholders in upfront systems engineering; superior collaboration among stakeholders by allowing them to focus on different system levels and perspectives; and elegant system design by getting the architecture right the first time with minimum structural complexity.",2014,"made significant stride last decade advent ( ) markup ( ) . advance made possible collaborative team communicate common share form digital rather hard-to-maintain document . one major advance need occur next enhancing address need stakeholder especially non-engineers . , advance proposition recent advance , virtual world building , technical storytelling key enablers next generation . end , present innovative developing experiential augments existing ( i.e. , ) new perspective informed exploration storytelling virtual world . intended allow stakeholder understand collaborate without learn notation , bring bear unique perspective collaborative . furthermore , immersive experience made possible storytelling virtual world potentially illuminate key interaction behavior , allowing stakeholder make meaningful contribution upfront . benefit payoff experiential : increased participation stakeholder upfront ; superior collaboration among stakeholder allowing focus different level perspective ; elegant getting right first time minimum structural ."
Towards a correct by construction design of complex systems: The MBSS approach,"We present in this paper the Model Based System Synthesis (MBSS) approach for the design of complex systems that are correct by construction. Where the usual Model Based System Engineering (MBSE) approach offers formalisms and tools to represent a candidate system, to analyze it, to simulate it and even to optimize it, MBSS proposes to represent the global design problem using a problem representation language and then to solve it by using adapted synthesis tools producing one or several solutions necessarily satisfying the expressed requirements. The two approaches are therefore complementary; the MBSS being more adapted to the preliminary design and system integration stages. After presenting the different categories of problems encountered in system design (sizing, configuration, allocation, architecture generation), MBSS and MBSE will be positioned in relation to each other. The main concepts of MBSS will be detailed in order to understand the specific representation needs of the approach. The structural and behavioral notions related to the sub-definite systems will be explained as well as the links to be established with the functional and non-functional requirements. The approach is illustrated using the DEPS design problem specification language and the DEPS Studio modeling and solving tool on a system design case study. The DEPS language combines structural modeling features specific to object-oriented principles and ontology definition capabilities for engineers with problem specification features from constraint programming. DEPS Studio is an integrated modeling and solving environment designed to model and resolve system synthesis problems. It allows the engineer to edit, compile, debug and solve problems expressed in DEPS. It integrates a mixed constraint programming solver. The approach can be applied on physical systems, software intensive or mixed systems (embedded or cyber-physical).",2022,"present synthesis ( mb ) correct construction . usual ( ) offer formalism represent candidate , analyze , simulate even optimize , mb proposes represent global problem problem representation solve adapted synthesis producing one several solution necessarily satisfying expressed . two therefore complementary ; mb adapted preliminary integration stage . presenting different category problem encountered ( sizing , configuration , allocation , generation ) , mb positioned relation . main concept mb detailed order understand specific representation need . structural behavioral notion related sub-definite explained link established functional non-functional . illustrated deps problem specification deps studio solving case study . deps combine structural feature specific object-oriented principle ontology definition capability engineer problem specification feature constraint programming . deps studio integrated solving environment designed resolve synthesis problem . allows engineer edit , compile , debug solve problem expressed deps . integrates mixed constraint programming solver . applied physical , software intensive mixed ( embedded cyber-physical ) ."
Ontologies of Time and Time-based Reasoning for MBSE of Cyber-Physical Systems,"Our work is concerned with the development of Model-Based Systems Engineering (MBSE) procedures for the behavior modeling and design of Cyber-Physical Systems. This class of problems is defined by a tight integration of software and physical processes, the need to satisfy stringent constraints on performance, safety and a reliance on automation for the management of system functionality. To assure correctness of functionality with respect to requirements, there is a strong need for methods of analysis that can describe system behavior in terms of time, intervals of time, and relationships among intervals of time. Accordingly, this paper discusses temporal semantics and their central role in the development of a new time-based reasoning framework in MBSE for CPS. Three independent but integrated modules compose the system: CPS, ontology and time-reasoning modules. This approach is shown to be mostly appropriate for CPS for which safety and performance are dependent on the correct time- based prediction of the future state of the system. A Python-based prototype implementation has been created to demonstrate the capabilities of the ontological framework and reasoning engine in simple CPS applications.",2013,"work concerned model-based ( ) procedure behavior cyber-physical . class problem defined tight integration software physical , need satisfy stringent constraint performance , safety reliance automation management functionality . assure correctness functionality respect , strong need describe behavior term time , interval time , relationship among interval time . accordingly , discus temporal semantics central role new time-based reasoning cps . three independent integrated module compose : cps , ontology time-reasoning module . shown mostly appropriate cps safety performance dependent correct time- prediction future state . python-based prototype implementation created demonstrate capability ontological reasoning engine simple cps application ."
Method for tracking and communicating aggregate risk through the use of model-based systems engineering (MBSE) tools,"Large, complex projects can identify a significant number and variety of risks, throughout the project life cycle. These risks are analyzed, mitigated, closed or accepted as independent uncertainties. Once closed or accepted, it is easy for projects to lose awareness of their impact. In reality, each of these risks contributes some amount to the overall risk posture of the project. The ability to track and effectively communicate this aggregate risk has represented a challenge to project management. There have been previous attempts to create a schema to communicate the aggregate effect of risks, without notable success. Most of these attempts have centered on some additive metric derived from the scoring of likelihood and consequence values. This, in and of itself, is a logical approach, but all too often the scores were then aggregated to a level where all context was lost. One weakness has been a lack of attempt to create linkages or logical groups of the risks upon which useful aggregation could then occur. The overall move to model-based (systems) engineering (MBSE) has opened up a vast frontier of opportunities to better integrate all project data. MBSE provides an underlying layer that links data items to each other. Objectives link to requirements, which then link to functions, functions to physical architecture items, and so on, as far down as projects want to model. While it started with a focus on modeling requirements based on things like use cases, efforts are now underway to integrate safety and mission assurance (S&MA) information and analyses, such as risks. This effort, called Model Based Mission Assurance (MBMA), is yielding models that are more useful and are a more accurate representations of the systems. MBSE models, with this ability to link related items, provide a new means of tracking and communicating aggregate risks. In the proposed method, risks are added into the models as distinct items, having attributes that communicate a scoring derived from the likelihood and consequence values as charted on the standard NASA 5 × 5 risk matrix. Like earlier efforts, each box in the 5 × 5 has an associated scoring, which may include both a current score and potential post-mitigation/control score. The risk items are then linked to elements of the model, such as system objectives/goals, requirements, functions, or physical architecture items, with “Risk to” relationships. These risks will then be communicated by use of reports generated from the model, detailing all risks and/or hazards linked to model elements. These reports can include aggregate impacts, including a current scoring and potential future state scoring based on the planned mitigations and/or controls. These reports will show all risks, open, accepted, and closed, linked to project objectives or requirements. When run as part of an upcoming risk acceptance discussion, these reports will serve to remind the team of all previous risks that relate to the effected portion of the system. When included as part of periodic program or project reviews, risk reviews, and safety reviews, this method can improve the overall understanding of the system's true risk posture. This proposed method takes full advantage of the advances that modern modeling techniques provide, with a minimal investment of additional time. Utilizing the model environment also enables a near constant access to current state of aggregate risks.",2020,"large , identify significant number variety risk , throughout life cycle . risk analyzed , mitigated , closed accepted independent uncertainty . closed accepted , easy lose awareness impact . reality , risk contributes amount overall risk posture . ability track effectively communicate aggregate risk represented challenge management . previous attempt create schema communicate aggregate effect risk , without notable success . attempt centered additive metric derived scoring likelihood consequence value . , , logical , often score aggregated level context lost . one weakness lack attempt create linkage logical group risk upon useful aggregation could occur . overall move model-based ( ) ( ) opened vast frontier opportunity better integrate data . provides underlying layer link data item . objective link , link function , function physical item , , far want . started focus thing like case , effort underway integrate safety mission assurance ( & ) , risk . effort , called mission assurance ( mbma ) , yielding useful accurate representation . , ability link related item , provide new mean tracking communicating aggregate risk . proposed , risk added distinct item , attribute communicate scoring derived likelihood consequence value charted standard nasa × risk matrix . like earlier effort , box × associated scoring , may include current score potential post-mitigation/control score . risk item linked element , objectives/goals , , function , physical item , “ risk ” relationship . risk communicated report generated , detailing risk and/or hazard linked element . report include aggregate impact , including current scoring potential future state scoring planned mitigation and/or control . report show risk , open , accepted , closed , linked objective . run part upcoming risk acceptance discussion , report serve remind team previous risk relate effected portion . included part periodic program review , risk review , safety review , improve overall understanding true risk posture . proposed take full advantage advance modern technique provide , minimal investment additional time . utilizing environment enables near constant access current state aggregate risk ."
Model Based Systems Engineering for System of Systems Using Agent-based Modeling,"Model Based Systems Engineering (MBSE) follows a model centric approach in contrast to the traditional document centric approach. The complexity of SoS development lends itself nicely to a model centric approach, especially a model that can represent the independence of the systems that comprise the SoS. An agent-based model provides a framework where the SoS and each system are independent entities with individual dynamics and interactions. The System of Systems (SoS) development depends on contributions from the individual systems each having their own agenda and priorities. System-to-system interactions are often necessary to accomplish the overall objectives and capabilities of the SoS. This research investigates the SoS development of an Acknowledged SoS with its associated individual systems and represents this development in an Agent-Based Model (ABM). The ABM includes decision models for the individual system agents that capture system dynamics and system-to- system negotiations as well as system to SoS negotiations. The ABM incorporates the key factors that influence SoS and individual systems’ dynamics and enables systems engineers to try different scenario inputs and analyze the overall dynamics.",2013,"( ) follows centric contrast traditional document centric . lends nicely centric , especially represent independence comprise . agent-based provides independent entity individual dynamic interaction . ( ) depends contribution individual agenda priority . system-to-system interaction often necessary accomplish overall objective capability . research investigates acknowledged associated individual represents agent-based ( abm ) . abm includes decision individual agent capture dynamic system-to- negotiation negotiation . abm incorporates key factor influence individual ’ dynamic enables engineer try different scenario input analyze overall dynamic ."
