"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Extracorporeal Membrane Oxygenation (ECMO) - A systems of systems engineering characterization","L. D. Pihera; T. R. Ender; M. L. Paden","Electronic Systems Laboratory, Georgia Tech Research Institute, Atlanta, GA, USA; Electronic Systems Laboratory, Georgia Tech Research Institute, Atlanta, GA, USA; Department of Pediatric Critical Care, Children's Healthcare of Atlanta, Atlanta, GA, USA","2013 8th International Conference on System of Systems Engineering","8 Aug 2013","2013","","","243","248","Extracorporeal Membrane Oxygenation (ECMO) is a vital lifesaving therapy. Though it has achieved approximately 75% survival rates for patients starting with less than a 25% chance of survival, ECMO was not designed and implemented in a rigorous engineering process. This paper will introduce a Systems of Systems (SoS) Engineering approach to characterizing the ECMO architecture and formally documenting it using Model Based Systems Engineering (MBSE), developed in a partnership between Children's Healthcare of Atlanta (CHOA) and the Georgia Institute of Technology's Professional Masters of Applied Systems Engineering (PMASE) program. Finally, the authors will describe possible areas of future work that may be undertaken as projects for future PMASE cohorts or others. The primary and unique contribution of this work is an initial application of formal MBSE to one of the most complex medical system of systems.","","978-1-4673-5597-1","10.1109/SYSoSE.2013.6575274","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6575274","System of systems;model based systems engineering;healthcare;biomedical engineering","Blood;Medical treatment;Integrated circuit modeling;Redundancy;Complexity theory","patient treatment;systems engineering","extracorporeal membrane oxygenation;ECMO architecture;systems engineering;lifesaving therapy;Systems of Systems Engineering;SoS Engineering;Model Based Systems Engineering","","6","","5","IEEE","8 Aug 2013","","","IEEE","IEEE Conferences"
"A Practitioner’s Guide to Optimizing the Interactions Between Modelers and Domain Experts","A. Doren; A. Markina-Khusid; M. Cotter; C. Dominguez","The MITRE Corporation Bedford, MA, USA; The MITRE Corporation Bedford, MA, USA; The MITRE Corporation Bedford, MA, USA; The MITRE Corporation Bedford, MA, USA","2019 IEEE International Systems Conference (SysCon)","16 Sep 2019","2019","","","1","8","As model-based approaches to Systems Engineering (SE) grow in popularity, the dynamic information exchange between modelers and domain experts is becoming a more common form of engineering collaboration. Typically, modelers and domain experts do not possess much shared knowledge at the beginning of a domain modeling effort, and gradually learn from each other throughout the process. This paper presents a set of Model-Based Systems Engineering (MBSE) practitioner-based techniques that modelers and domain experts can use to have more efficient and effective interactions during model development. The techniques are presented in the context of existing literature, and further validated by the results of an exploratory survey given to MBSE practitioners, thereby forming the basis for a more standardized process of multidisciplinary knowledge sharing than exists today. The intent is that a team of modelers and domain experts could then apply these practical techniques to their project to reduce the cost of multidisciplinary translation, enabling faster model development while promoting model quality: readability, accuracy, and completeness.","2472-9647","978-1-5386-8396-5","10.1109/SYSCON.2019.8836820","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8836820","model-based systems engineering;domain modeling;multidisciplinary teams;knowledge sharing","Complexity theory;Usability;Analytical models;Tools;Atmospheric modeling","groupware;human computer interaction;learning (artificial intelligence);systems engineering","domain experts;domain modeling;model-based systems engineering practitioners;MBSE practitioners;multidisciplinary knowledge sharing;multidisciplinary translation","","","","25","IEEE","16 Sep 2019","","","IEEE","IEEE Conferences"
"Augmenting MBSE with Digital Twin Technology: Implementation, Analysis, Preliminary Results, and Findings","A. M. Madni; S. Purohit","Engineering Faculty Member at the University of Southern California, Los Angeles, CA, USA; Doctoral Student at the University of Southern California, Los Angeles, CA, USA","2021 IEEE International Conference on Systems, Man, and Cybernetics (SMC)","6 Jan 2022","2021","","","2340","2346","Model-Based Systems Engineering (MBSE) requires more significant investment than traditional systems engineering in the early system life cycle phases. Program management justifies this additional investment by arguing that such investments can be expected to produce continuous gains across later phases of the systems life cycle resulting from early detection of defects, risk reduction, improved communication, superior supply chain integration, product line definition, and enhanced traceability. Since systems continue to evolve over their life cycle, system models need to be updated continually to reflect the system's current state and thereby sustain value. However, in today's systems engineering organizations, the current practice is to reallocate modeling resources to other projects once initial modeling on a particular project is completed. This practice results in a resource shortfall that impedes the ability to continuously update system models through the later phases of the system life cycle. This paper presents how digital twin technology can be exploited within MBSE to ensure continuous model updates throughout the system life cycle. This paper also presents preliminary results from prototyping and experiments conducted with a digital twin that is continuously updated with data from the physical system operating in the real world. Finally, this paper shows how operational analysis and system modeling can be significantly enhanced by leveraging digital twin technology within MBSE.","2577-1655","978-1-6654-4207-7","10.1109/SMC52423.2021.9658769","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9658769","","Digital twin;Program management;Supply chains;Organizations;Systems modeling;Stakeholders;Risk management","investment;prototypes;supply chain management;systems engineering","MBSE;model-based systems engineering;systems life cycle;continuous model updates;physical system;traditional systems engineering organizations;investment;defect detection;risk reduction;improved communication;superior supply chain integration;prototyping;leveraging digital twin technology","","3","","34","IEEE","6 Jan 2022","","","IEEE","IEEE Conferences"
"Integration of different MBSE approaches within the design of a control maintenance system applied to the aircraft fuel system","C. Pessa; M. Cifaldi; E. Brusa; D. Ferretto; K. M. N. Malgieri; N. Viola","Leonardo Aircraft, Finmeccanica S.p.A, Torino, Italy; Leonardo Aircraft, Finmeccanica S.p.A, Torino, Italy; Department of Mechanical and Aerospace Engineering, Politecnico di Torino, Torino, Italy; Department of Mechanical and Aerospace Engineering, Politecnico di Torino, Torino, Italy; Department of Mechanical and Aerospace Engineering, Politecnico di Torino, Torino, Italy; Department of Mechanical and Aerospace Engineering, Politecnico di Torino, Torino, Italy","2016 IEEE International Symposium on Systems Engineering (ISSE)","24 Nov 2016","2016","","","1","8","The design of a Control Maintenance system (CMs) for an airborne platform deeply deals with the mission, the on-board systems interfaces and the identification of their behaviour in operation. This paper describes how the Model Based Systems Engineering (MBSE) was applied to an industrial test case to perform the functional design of an innovative CMs to be integrated with the aircraft Fuel system (Fs). The impact of different approaches applied when modelling the two systems and their integration through the SysML was investigated. As the IBM Rational Rhapsody® tool was used, the Harmony® methodology was applied to the CMs, while a MBSE customized approach was implemented for the Fs, even to cope with some differences in coupling an avionic system to a physical one.","","978-1-5090-0793-6","10.1109/SysEng.2016.7753138","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7753138","MBSE;avionics;interoperability of models;material product development;design methodology","Aircraft;Aerospace electronics;Atmospheric modeling;Maintenance engineering;Fuels;Functional analysis","aircraft maintenance;aircraft testing;avionics;fuel systems;mechanical engineering computing;SysML;systems engineering","avionic system;MBSE customized approach;Harmony methodology;IBM Rational Rhapsody tool;SysML modelling;functional design;industrial test case;model based systems engineering;behaviour identification;on-board system interfaces;airborne platform;CM system design;aircraft fuel system;control maintenance system design","","9","","17","IEEE","24 Nov 2016","","","IEEE","IEEE Conferences"
"Automated Generation of FMEAs using SysML for Reliability, Safety, and Cybersecurity","M. Hecht; A. Chuidian; T. Tanaka; R. Raymond","The Aerospace Corporation, El Segundo, CA; The Aerospace Corporation, El Segundo, CA; The Aerospace Corporation, El Segundo, CA; The Aerospace Corporation, El Segundo, CA","2020 Annual Reliability and Maintainability Symposium (RAMS)","31 Jul 2020","2020","","","1","7","In this paper, an automated FMEA generation capability using the SysML modeling language and described its application to a simple SCADA computer network was described. The outputs produced by the tool (implemented as a SysML plug-in) from this analysis were presented, and the resultant insights into the design were described. The fundamental innovation in our approach is the identification and enumeration of all failure propagation paths and the detailed documentation of the failure transformations, detection measures, mitigation measures and protective measures that can be applied to these devices to prevent or mitigate the impact of the anomaly. By doing so, we can expand the traditional FMEA approach to analysis of cyberattack vectors. Because our approach is automated and can be readily integrated into a system development effort using Model Based Systems Engineering (MBSE), the analysis can be readily repeated throughout the design and can be used frequently to assess a system design, identify weaknesses, and take corrective actions to create a more resilient and robust system.","2577-0993","978-1-7281-3690-5","10.1109/RAMS48030.2020.9153708","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9153708","Failure Modes and Effects Analysis;SysML;MBSE","Virtual private networks;Tools;Cyberattack;Sensors;Computational modeling;Analytical models","failure analysis;object-oriented methods;reliability;SCADA systems;security of data;SysML;systems engineering","failure propagation paths;detailed documentation;failure transformations;detection measures;mitigation measures;model based systems engineering;system design;cybersecurity;SysML modeling language;SysML plug-in;fundamental innovation;FMEA automated generation;SCADA computer network;MBSE;cyberattack vectors","","2","","6","IEEE","31 Jul 2020","","","IEEE","IEEE Conferences"
"Transformation from System model to FACE data model based on metadata mapping","Z. Xiao; X. Hu; J. Xiao; G. Zhang; Q. Zhou","State Key Laboratory of Virtual Reality Technology and Systems, Beihang University, Beijing, China; State Key Laboratory of Virtual Reality Technology and Systems, Beihang University, Beijing, China; State Key Laboratory of Virtual Reality Technology and Systems, Beihang University, Beijing, China; State Key Laboratory of Virtual Reality Technology and Systems, Beihang University, Beijing, China; China National Aeronautical Radio Electronics Research Institute, Shanghai, China","2021 IEEE 16th Conference on Industrial Electronics and Applications (ICIEA)","30 Aug 2021","2021","","","1495","1500","Aiming at the problems of long development cycle, poor reusability and portability in avionics software development, this paper proposes a development process based on MBSE(Model-based systems engineering) and FACE(future airborne capability environment) architecture. At the same time, the differences between SysML model and FACE data model lead to the incoherence of development process. Therefore, the mapping transformation method from SysML model to FACE data model is designed based on metadata model mapping Law.","2158-2297","978-1-6654-2248-2","10.1109/ICIEA51954.2021.9516433","National Natural Science Foundation of China(grant numbers:51807003); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9516433","avionics software;MBSE;FACE architecture;metadata;model mapping","Industrial electronics;Analytical models;Atmospheric modeling;Computer architecture;Aerospace electronics;Metadata;Tools","aerospace computing;avionics;data models;meta data;software architecture;systems engineering","portability;avionics software development;SysML;mapping transformation;system model;development cycle;metadata model mapping law;FACE data model;MBSE;model-based systems engineering;future airborne capability environment architecture","","","","8","IEEE","30 Aug 2021","","","IEEE","IEEE Conferences"
"Bridging the Gap between OpenMBEE and Git","D. Siegl","R&D, LieberLieber Software GmbH, Vienna, Austria","2021 ACM/IEEE International Conference on Model Driven Engineering Languages and Systems Companion (MODELS-C)","20 Dec 2021","2021","","","465","466","Git and its workflows as well as best practices are the de-facto standard in the Software Engineering world. Can we leverage those concepts for Model-Based Systems Engineering (MBSE)? How could a Git “enabled” OpenMBEE approach look like? Branching and merging are core capabilities in agile methods, and thus, are required for agile MDSE. Dedicated tools for supporting these capabilities for models based on Git have been proposed recently, but their integration within a tool chain consisting of several heterogeneous tools is still a challenge. Therefore, in this paper, we will discuss how ideas and tools from OpenMBEE can be leveraged to enable working with Git in MDSE without losing the capabilities provided by OpenMBEE/MMS Backends.","","978-1-6654-2484-4","10.1109/MODELS-C53483.2021.00072","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9643692","git, mbse, agile, openmbee, mms","Merging;Model driven engineering;Modeling;Standards;Best practices;Software engineering","software prototyping","Git;software engineering world;model-based systems engineering;OpenMBEE approach look;core capabilities;agile methods;agile MDSE;dedicated tools;tool chain;heterogeneous tools;MBSE;MMS backends","","","","3","IEEE","20 Dec 2021","","","IEEE","IEEE Conferences"
"ATLaS: A Framework for Traceability Links Recovery Combining Information Retrieval and Semi-Supervised Techniques","E. Effa Bella; S. Creff; M. -P. Gervais; R. Bendraou","IRT SystemX, Palaiseau, France; IRT SystemX, Paris-Saclay, France; Université Paris Nanterre, CNRS-LIP6, Paris, France; Université Paris Nanterre, CNRS-LIP6, Paris, France","2019 IEEE 23rd International Enterprise Distributed Object Computing Conference (EDOC)","30 Dec 2019","2019","","","161","170","Current Model-Based Systems Engineering (MBSE) practices to design and implement complex systems require modeling and analysis based on many representations: structure, dynamics, safety, security, etc. This induces a large volume of overlapping heterogeneous artefacts which are subject to frequent changes during the project life cycle. In order to verify and validate systems requirements and ensure that models meet user's needs, MBSE techniques shall rely on consistent traceability management. In this paper, we investigate the benefits of Information Retrieval (IR) techniques and the latest advances in Natural Language Processing (NLP) approaches to suggest stakeholders with candidate semantic links generated from the processing of structured and unstructured contents. We illustrate our approach called ATLaS (Aggregation Trace Links Support) through an application on the design and analysis of a mobility service gathering several industrial partners. We provide an empirical evaluation regarding its limitations as part of an industrial MBSE process. Most importantly, we highlight how our method drastically reduces the false positive links generated compared to current IR techniques. The results obtained suggest a good synergy between the presented approach and MBSE techniques.","2325-6362","978-1-7281-2702-6","10.1109/EDOC.2019.00028","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8944976","Model-Based Systems Engineering, Requirements, Traceability, Information Retrieval, Natural Language Processing, Semi-supervised techniques","Unified modeling language;Tools;Semantics;Modeling;Collaboration;Syntactics;Regulation","formal specification;formal verification;information retrieval;natural language processing;program diagnostics;supervised learning;system recovery;systems analysis;systems engineering","ATLaS;industrial MBSE process;traceability links recovery;semisupervised techniques;model-based systems engineering practices;traceability management;information retrieval;natural language processing;structured content processing;aggregation trace links support;mobility service;requirements management;system requirements validation;system requirements verification","","","","42","IEEE","30 Dec 2019","","","IEEE","IEEE Conferences"
"Anticipatory capacity: Leveraging model-based approaches to design systems for dynamic futures","D. H. Rhodes; A. M. Ross","Systems Engineering Advancement Research Initiative (SEAri), Massachusetts Institute of Technology, Cambridge, MA, USA; Systems Engineering Advancement Research Initiative (SEAri), Massachusetts Institute of Technology, Cambridge, MA, USA","2009 International Conference on Model-Based Systems Engineering","29 May 2009","2009","","","46","51","The paper presents a vision for enhancing anticipatory capacity of engineering organizations, with a goal of enabling the design of systems that can deliver sustained value as the world changes. Anticipatory capacity is the capacity of an organization to continuously develop and apply knowledge acquired through a structured approach to anticipate changing scenarios as needs and context change over time, While anticipation has always had a role in designing systems; the availability of model-based methods has significant implications. Anticipatory capacity extends from three key elements: competencies, methods, and a model-based environment. The paper discusses ongoing and planned research in support of establishing anticipatory capacity in organizations by leveraging the opportunities of model-based engineering.","","978-1-4244-2967-7","10.1109/MBSE.2009.5031719","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5031719","anticipation;anticipatory capacity;dynamic;design;modeling;tradespace exploration;model-based engineering","Design engineering;Decision making;Systems engineering and theory;Humans;Costs;Research initiatives;Context modeling;Visualization;Performance analysis;System analysis and design","systems analysis;systems engineering","anticipatory capacity;leveraging model-based approaches;design systems;dynamic futures;model-based methods;model-based engineering","","11","","19","IEEE","29 May 2009","","","IEEE","IEEE Conferences"
"Collaborative work with Software Models - Industrial experience and requirements","L. Bendix; P. Emanuelsson","Department of Computer Science, Lund Institute of Technology, Lund, Sweden; Ericsson AB, Linkoping, Sweden","2009 International Conference on Model-Based Systems Engineering","29 May 2009","2009","","","60","68","When the initial problems of introducing and adopting model-driven development in a company have been handled, we want to go to work. That means that we have to supply our team of developers with a development environment and tools and processes that allow them to work efficiently. In many cases the team would like to work with models as if it was ldquojust another programming languagerdquo and use the same techniques and processes for team collaboration and coordination they are used to from traditional development. Unfortunately some of the traditional tools and processes that work so well for traditional development do not work at all for model-driven development. Version control functionality is usually a key part in coordinating the parallel work in a team and through a set of use cases, we arrive at a number of requirements to a model-driven development environment that must be available for a team of developers to work efficiently.","","978-1-4244-2967-7","10.1109/MBSE.2009.5031721","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5031721","","Collaborative work;Collaborative software;Computer industry;Unified modeling language;Computer languages;Switches;History;Computer science;Merging;Productivity","configuration management;software tools;team working","collaborative work;software model;model-driven development;development team;development environment;development tools;team collaboration;team coordination;version control functionality;team work","","9","","14","IEEE","29 May 2009","","","IEEE","IEEE Conferences"
"Practicing modelling in manufacturing","H. Tellioglu","Faculty of Informatics, University of Technology, Vienna, Austria","2009 International Conference on Model-Based Systems Engineering","29 May 2009","2009","","","75","82","This paper is about understanding modelling practices in manufacturing and contribute in methodologies and approaches facilitating introduction of modelling in a company. Based on ethnographic studies at real work environments and scenario-building workshops, we could identify and analyse several issues like how to involve and engage domain workers in modelling activities, that there are four different levels of formal and informal models (paper-based, table-based, non-executable and executable), that domain workers are first of all interested in the first two levels especially to support product design. Furthermore, modelling of products and processes are interlinked, and different approaches to modelling must be supported and encouraged in an enterprise to enable participation of domain workers in modelling activities.","","978-1-4244-2967-7","10.1109/MBSE.2009.5031723","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5031723","","Virtual manufacturing;Object oriented modeling;Pulp manufacturing;Context modeling;Process design;Unified modeling language;Humans;Manufacturing processes;Production;Refining","manufacturing industries;product design;production engineering computing","modelling practices;manufacturing;ethnographic studies;real work environments;scenario-building workshops;paper-based model;table-based model;nonexecutable model;product design","","6","","11","IEEE","29 May 2009","","","IEEE","IEEE Conferences"
"Efficient recognition of finite satisfiability in UML class diagrams: Strengthening by propagation of disjoint constraints","A. Maraee; M. Balaban","Ben-Gurion University of the Negev, Beersheba, Israel; Ben-Gurion University of the Negev, Beersheba, Israel","2009 International Conference on Model-Based Systems Engineering","29 May 2009","2009","","","1","8","Models lie at the heart of the emerging Model-driven Engineering approach. In order to guarantee precise, consistent and correct models, there is an urgent need for efficient reasoning methods for verifying model correctness. This paper extends and strengthens our previous work on efficient recognition of finite satisfiability problems in UML class diagrams with constrained generalization sets. First, algorithm FiniteSat is simplified into a single stage process, yielding a more compact linear inequality system. The main contribution of the paper is a method for propagation of disjoint constraints within complex class hierarchy structures, which meaningfully extends the scope of the FiniteSat algorithm. The method relies on a thorough analysis of the interaction between disjoint constraints and the structure of class hierarchy. It is recommended as a pre-processing stage, and being an anytime algorithm, even partial application is useful.","","978-1-4244-2967-7","10.1109/MBSE.2009.5031714","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5031714","","Unified modeling language","computability;program verification;reasoning about programs;Unified Modeling Language","finite satisfiability recognition;UML class diagram;disjoint constraint propagation;model-driven engineering;linear inequality system;complex class hierarchy structure;FiniteSat algorithm;reasoning method;model correctness verification","","6","","16","IEEE","29 May 2009","","","IEEE","IEEE Conferences"
"Achieving flexibility in business process modeling using an algebraic language","Lan Xiao; B. H. Y. Koo; Li Zheng","Department of Industrial Engineering, Tsinghua University, Beijing, China; Department of Industrial Engineering, Tsinghua University, Beijing, China; Department of Industrial Engineering, Tsinghua University, Beijing, China","2009 International Conference on Model-Based Systems Engineering","29 May 2009","2009","","","52","59","Companies nowadays are under increasing pressure to adapt their business processes to the ever-changing business environment. However, most traditional business process modeling (BPM) methods lack enough flexibility. It is hard to extract and reuse information and knowledge embedded in the existing business process models to build new models. We propose an algebraic framework based on a many-sorted algebra, algebra of system (AoS), to achieve the flexibility in business process modeling. We decompose business process models into different modules of knowledge and encode them as different algebraic domains of AoS. Within each algebraic domain, knowledge is encoded as operands. Based on operands, each algebraic domain is equipped with operators to provide computation capabilities. The operands and operators ensure the flexibility that the framework can achieve and the analysis capabilities that the framework can provide.","","978-1-4244-2967-7","10.1109/MBSE.2009.5031720","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5031720","","Algebra;Companies;Data structures;Computational modeling;Industrial engineering;Collaboration;Dictionaries;Data mining;Information analysis;Knowledge engineering","business data processing;process algebra","business process modeling;algebraic language;algebra of system","","1","","13","IEEE","29 May 2009","","","IEEE","IEEE Conferences"
"OPM model based simulation environment for systems engineering conceptualization phase","Y. Yaroker; V. Perelman; D. Dori","Technion-Israel Institute of Technology, Haifa, Israel; Technion-Israel Institute of Technology, Haifa, Israel; Technion-Israel Institute of Technology, Haifa, Israel","2009 International Conference on Model-Based Systems Engineering","29 May 2009","2009","","","9","20","Conceptual design is a crucial system lifecycle stage, but systematic methods for conceptual design evaluation are not well-developed and existing approaches are not satisfactory. In this work we describe implementation and assessment of an advanced simulation environment that can serve conceptual design evaluation purposes using object-process methodology (OPM). The simulation exploits two major advantages of the OPM modeling language: its integration of the structural and behavioral aspects of the system in a single type of diagram and the hierarchical organization of the model diagrams. The simulation of the system model is instrumental in understanding and exploring the behavioral aspects of the system under study and uncovering logical and conceptual problems, such as incorrect control flow and missing structural relations among objects. The latter is achieved via an intuitive user interface and a host of debugging capabilities, including ldquolifespanrdquo and ldquoDebug Infordquo components. Using these components, one can explore the state of any OPM entity and be aware of a variety of potential problems that are manifested during the simulation process.","","978-1-4244-2967-7","10.1109/MBSE.2009.5031715","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5031715","","Modeling;Simulation;Systems engineering and theory;Humans;Design engineering;Design methodology;Instruments;User interfaces;Debugging;Security","digital simulation;object-oriented languages;object-oriented methods;program debugging;systems engineering;user interfaces","OPM modeling language;object-process methodology;conceptual design evaluation;simulation environment;user interface;program debugging","","","","11","IEEE","29 May 2009","","","IEEE","IEEE Conferences"
"Adapting Progressive MBSE Development to Document Based Contracts","R. Ferguson; J. Marshall; M. Guzman","BAE Systems, 9300 Wellington Road, Manassas, VA; BAE Systems, 9300 Wellington Road, Manassas, VA; BAE Systems, 65 River Road, Hudson, NH","2020 IEEE Aerospace Conference","21 Aug 2020","2020","","","1","11","Every new program executed by BAE Systems Space Systems continues to improve and mature the Model Based Systems Engineering (MBSE) development position. While the benefits of MBSE are realized internally, each program is forced to regress to a legacy document-based structure for customer interaction and contract deliverables. Until there is a paradigm shift in how contracts are fulfilled, there will be a need to adapt the model to traditional document deliverables. This paper discusses the challenges of adapting Model Based System Engineering models and development processes with legacy document based contracts through document representation within the model combined with document exportation. BAE Systems has embraced Model Based Systems Engineering since 2016 and continues to expand its application. Satisfying document-based deliverables without duplication of effort and information is essential to continue the rapid adoption of Model Based Systems Engineering.","1095-323X","978-1-7281-2734-7","10.1109/AERO47225.2020.9172671","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9172671","","Adaptation models;Conferences;Modeling;Contracts;Aerospace engineering","aerospace computing;project management;systems engineering","progressive MBSE development;document Based contracts;BAE Systems Space Systems;Model Based Systems Engineering;legacy document-based structure;customer interaction;contract deliverables;traditional document deliverables;document representation;document exportation;satisfying document-based deliverables","","","","8","IEEE","21 Aug 2020","","","IEEE","IEEE Conferences"
"Agile modeling of an evolving ballistic missile defense system with Object-Process Methodology","Y. Mordecai; D. Dori","Faculty of Industrial Engineering and Management Technion, Israel Institute of Technology Haifa, Israel; Engineering Systems Division Massachusetts Institute of Technology, Faculty of Industrial Engineering and Management Technion - Israel Institute of Technology Haifa, Cambridge, MA, Israel","2015 Annual IEEE Systems Conference (SysCon) Proceedings","4 Jun 2015","2015","","","839","846","Evolution of requirements and systems has led to the proliferation of agile development as a matter of course in the current technological landscape. The rate of change poses a significant dilemma to stakeholders regarding the amount of effort and resources they should invest in methodological practices, including modeling, design, analysis, and specification. The attempt to move quickly from concept to operation often leads to preference of expedience for gaining early time-to-market over quality and robustness. Rather than referring to the modeling vs. agility challenge as a dilemma, we perceive it as an opportunity for synergy. Building on Object-Process Methodology (OPM)-the new ISO-19450 standard, we propose an agile model-based systems engineering (MBSE) framework that facilitates, and fosters development agility and system evolution. This agile MBSE framework extends the traditional scope of system modeling to cover aspects of functional and structural evolution, phase transition, deployment feedback, and configuration interdependence. We demonstrate the applicability of agile MBSE on a hypothetical ballistic missile defense system, based on publicly available information on Iron Dome - an Israeli ballistic missile defense system with proven operational capability.","","978-1-4799-5927-3","10.1109/SYSCON.2015.7116855","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7116855","Agile Model-Based Systems Engineering;Evolving System Models;Agile Development;Object-Process Methodology;Configuration Management;Ballistic Missile Defense","Modeling;Missiles;Iron;Unified modeling language;Planning;Biological system modeling","defence industry;ISO standards;military computing;missiles;systems engineering;time to market","agile modeling;object-process methodology;agile development;time-to-market;robustness;OPM;ISO-19450 standard;model-based systems engineering;MBSE;system modeling;iron dome;Israeli ballistic missile defense system","","8","","29","IEEE","4 Jun 2015","","","IEEE","IEEE Conferences"
"V2X Communication Based System Development: Application on Intersection Assist with Co-Simulation","S. K. Yetkin; M. Eren; N. Zengin; E. A. Rencüzoğullan; M. Tomruk; H. Yılmaz","AVL Research and Engineering, Istanbul, Turkey; AVL Research and Engineering, Istanbul, Turkey; AVL Research and Engineering, Istanbul, Turkey; AVL Research and Engineering, Istanbul, Turkey; AVL Research and Engineering, Istanbul, Turkey; AVL Research and Engineering, Istanbul, Turkey","2022 IEEE 21st international Ccnference on Sciences and Techniques of Automatic Control and Computer Engineering (STA)","25 Jan 2023","2022","","","138","145","Due to a greater demand for driving safety, vehicle-to-everything (V2X) communication studies has grown up. In this study, intersection assist (IA) function is developed to establish V2X communication in a vehicular network. Various tools are integrated into the co-simulation environment to execute the simulation. The main goal is to simulate different communication types, such as vehicle-to-vehicle (V2V) and vehicle-to-infrastructure (V2I), so several scenarios are created to simulate V2X communication. In Simulation of Urban Mobility (SUMO), simulations are performed for the given scenarios which are based on model-based systems engineering (MBSE) approach. Controllers are built in Simulink and used to control vehicles in SUMO, while Virtual Test Drive (VTD) is used to visualize the simulation in a 3D environment. Model.CONNECT™ is used to run each of these several tools simultaneously. MBSE section of this paper addresses the first major steps of system specification which are use case generation and requirement elicitation. Afterwards, specified use cases and requirements are modeled with systems modeling language (SysML) diagrams. The developed methodology shows that MBSE provides highly efficient advantages for the design of complex systems in terms of utilizing interconnectedness and traceability. Additionally, V2X impacts on the IA is analysed.","2573-539X","978-1-6654-8261-5","10.1109/STA56120.2022.10019219","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10019219","automated driving;model-based systems engineering;v2x communication;co-simulation;path following","Visualization;Solid modeling;Three-dimensional displays;Vehicle-to-infrastructure;Vehicular ad hoc networks;Systems architecture;Systems Modeling Language","road safety;traffic engineering computing;vehicular ad hoc networks;virtualisation","driving safety;intersection assist function;MBSE;model-based systems engineering approach;Model.CONNECT;simulation of urban mobility;SUMO;SysML diagrams;systems modeling language diagrams;V2X communication based system development;vehicle-to-everything communication;vehicle-to-infrastructure;vehicle-to-vehicle;vehicular network;virtual test drive;VTD","","","","24","IEEE","25 Jan 2023","","","IEEE","IEEE Conferences"
