title,abstract,year
Enhancing Knowledge Management into Systems Engineering through New Models in SysML,"This paper aims at exploring cooperative work and knowledge implication into Systems Engineering approach in order to study organisational impact. Furthermore, the study aims at providing conceptual models that enhance a Model-Based Systems Engineering (MBSE) with the purpose of taking into account knowledge management (KM). The research formulates a decision model that complements the existing methods through Systems Modeling Language (SysML). The methodology is based on current SysML diagrams and proposes a KM solution focused on an organizational approach. The requirements satisfaction is built on this conceptual approach to help on the decisional process. Systems Engineering (SE) integrates all the disciplines and specialty groups into a team effort forming a structured development process from design to production. SE shows that cooperative work and management increase with the complexity of systems. Thus far, the current models do not present enough cooperative and knowledge management supports. The study proposes to add a new model to imply KM and organizational aspect through SysML in order to develop a cooperative work process with a first conceptual approach. This paper tackles several possibilities based on modeling language SysML extension and discusses the interest of implementing the model while providing a complementary decision-making tool.",2017
Chapter 19 - Deploying SysML into an Organization,"Publisher Summary
Introducing any significant change into an organization requires a well-thought-out plan and disciplined implementation to be successful. SysML to an organization and projects should be planned as part of an initiative to improve the systems engineering process, methods, tools, and training. This chapter describes how to implement an improvement process to facilitate a smooth and successful transition to SysML as part of a model-based systems engineering (MBSE) approach. The transition to SysML should be implemented using the organization's improvement process as part of their transition to a model-based approach. Clear responsibility for the improvement initiative should be established, and the expected cost and benefits of the change should be understood and agreed on with stakeholders. A successful deployment must be planned, piloted, and incrementally deployed. Success of the modeling effort is a key ingredient to motivate other projects to follow. The result of the modeling effort, including its benefits and lessons learned, should be quantified, where practical, and used as a basis for future deployments and improvements.",2012
Model-based security engineering for cyber-physical systems: A systematic mapping study,"Context
Cyber-physical systems (CPSs) have emerged to be the next generation of engineered systems driving the so-called fourth industrial revolution. CPSs are becoming more complex, open and more prone to security threats, which urges security to be engineered systematically into CPSs. Model-Based Security Engineering (MBSE) could be a key means to tackle this challenge via security by design, abstraction, and automation.
Objective
We aim at providing an initial assessment of the state of the art in MBSE for CPSs (MBSE4CPS). Specifically, this work focuses on finding out 1) the publication statistics of MBSE4CPS studies; 2) the characteristics of MBSE4CPS studies; and 3) the open issues of MBSE4CPS research.
Method
We conducted a systematic mapping study (SMS) following a rigorous protocol that was developed based on the state-of-the-art SMS and systematic review guidelines. From thousands of relevant publications, we systematically identified 48 primary MBSE4CPS studies for data extraction and synthesis to answer predefined research questions.
Results
SMS results show that for three recent years (2014–2016) the number of primary MBSE4CPS studies has increased significantly. Within the primary studies, the popularity of using Domain-Specific Languages (DSLs) is comparable with the use of the standardised UML modelling notation. Most primary studies do not explicitly address specific security concerns (e.g., confidentiality, integrity) but rather focus on security analyses in general on threats, attacks or vulnerabilities. Few primary studies propose to engineer security solutions for CPSs. Many focus on the early stages of development lifecycle such as security requirement engineering or analysis.
Conclusion
The SMS does not only provide the state of the art in MBSE4CPS, but also points out several open issues that would deserve more investigation, e.g., the lack of engineering security solutions for CPSs, limited tool support, too few industrial case studies, and the challenge of bridging DSLs in engineering secure CPSs.",2017
"BPMN+I to support decision making in innovation management for automated production systems including technological, multi team and organizational aspects","A joined interdisciplinary approach from systems engineering, organizational sociology and psychology is introduced using an enriched Business Process Model and Notation (BPMN+I) based modeling approach to support decision making on a management level for both mid-term decisions such as in-/outsourcing and short-term decisions such as fixing a weakness on site during start-up of a plant abroad or involving the design offices. This approach focusses on the actual collaboration between interdisciplinary teams within an organizational context by enriching BPMN with checklists applicable to all interfaces along the projects’ workflow. Our contribution aims at supporting innovation management for automated Production Systems which depends on successful interdisciplinary collaboration.",2020
A Metamodel of Evaluation in Systems Engineering: Application to a Mechatronic Design,"Evaluation is present at any phase of the life cycle of a product and each time engineering choices must be made or justified. In order to contribute to supporting the evaluation process, we propose in this paper a meta-model of data needed to evaluate product design within the Systems Engineering framework. Relevant to the MBSE approach, the proposed meta-model should facilitate the communication within a multidisciplinary design team as it highlights the concepts and relations that must be handled and shared by the designers. It could be a basis for the development of a computer assisted evaluation tool for designing interdisciplinary systems such as mechatronics ones. Some concepts and relationships of the proposed meta-model are illustrated in the mechatronic context of designing a module for a power-assisted wheelchair.",2012
A system modelling approach to collaborative PSS design,"An adequate design of PSS-oriented business models (PSS BM) should illustrate the link between the strategic objectives of the stakeholders and the operational development of the offer. The literature on PSS explains the content of a business model mostly from the provider’s perspective with a clear operational positioning. This paper considers the strategic positioning of stakeholders in the early stage of the process of value co-creation. More precisely, this paper aims at providing a comprehensive conceptual model that integrates both strategic and operational perspectives of a business model, which is considered here as a system of value co-creation. A system modelling approach, by coupling two modelling methodologies, is proposed. Goal Modelling (GM) is used for the strategic perspective, and Model-Based System Engineering (MBSE) for the operational one. GM allows modelling high-level objectives that stakeholders expect from a given system, whereas MBSE supports formal modelling of the engineering process. Combining both modelling frameworks makes it possible to visualize the entire system from strategic and operational perspectives as a unique socio-technical system. The aim of this work is to support the value co-creation process in the early stages of PSS design through the visualization of its key elements (e.g., actors, goals, PSS offers, activities, among others). The implementation of the modelling framework is illustrated through a real example of a French company with respect to the provision of safety clothing for its employees.",2019
Multi-domain simulation utilizing SysML: state of the art and future perspectives,"Increasing system complexity requires adapted methodologies to tackle the challenges that come along with multi-domain systems development. Model-Based Systems Engineering (MBSE) provides significant support by using models to describe different aspects of an examined system already in the early stages of the development process. The Systems Modeling Language (SysML) can be utilized to establish a common system information basis on a comparatively abstract level for all participating stakeholders. Although SysML models are able to encompass system information like requirements, structure, behaviour and parametrics, in many cases additional specialized simulation or computation models are needed, especially for early design decision-making and verification activities. Ideally, the input data and the calculated results are automatically exchanged between the SysML modelling editor and the involved simulation tools. Hence, tool chain integration is a crucial factor to provide the necessary interconnectivity to achieve multi-domain simulation. In general, the integration of simulation environments with SysML tools is mainly limited by two factors. First, as the tools available for modelling with SysML are legion, interface solutions are usually developed for a specific tool and therefore, their usage is restricted to that particular software. Second, evolving standards like the Functional Mock-up Interface (FMI) provide capabilities to ease model data exchange and co-simulation, but the implementation of different versions of various standards in the tools causes incompatibilities. In this work a state of the art of the integration between simulation environments and available SysML modelling tools with respect to utilized standards and their implementation maturity is presented. Additionally, the capabilities of the reviewed tools to support co-simulation are evaluated. Furthermore, existing challenges are highlighted, and potential improvements are discussed.",2021
A System-of-Systems perspective for information fusion system design and evaluation,"This paper provides a System-of-Systems (SoS) perspective for integrated design and evaluation of an Information Fusion System (IFS). IFS is comprised of distributed and heterogeneous systems that accomplish low-level and high-level information fusion (LLIF and HLIF) functionality. LLIF and HLIF functions are developed independent from one another but require collaboration to achieve the IFS mission objectives. The distribution and heterogeneity of systems, in addition to the multiplicity of LLIF and HLIF functions, creates an extensively large design space for the IFS. We apply a SoS engineering architecting process to obtain integrated architectures of IFS and propose guidelines to constrain an otherwise infinite design space of Information Fusion System-of-Systems (IF-SoS). Furthermore, we elaborate a multi-agent system modeling approach and pair it with Design of Experiments for objective evaluation of the IF-SoS design space. The statistical analysis, based on analysis of variance (ANOVA) and Tukey Honest Significant Difference (HSD) Range Tests, quantifies the impact of interactions between LLIF and HLIF design considerations on the IF-SoS performance. Furthermore, statistical evidence is provided to demonstrate that the interactions among JDL levels, in particular between LLIF and HLIF, are the most significant design considerations for fusion performance which necessitate an integrated design and evaluation of LLIF and HLIF—a manifestation of the SoS perspective for the IFS.",2017
Framework to support Models for Manufacturing (MfM) methodology,"Model-Based System Engineering (MBSE) provides a conceptualization of systems and proposes the independence between knowledge conceptualization and tools, reusability and interoperability. In the scope of manufacturing there are several research works oriented to define ontologies, but only a few consider a framework to manage the whole lifecycle of the models and software tools for supporting this entire process. The aim of this work is to present a framework supporting Models for Manufacturing (MfM) methodology, which allows the definition, design and simulation of complex manufacturing systems. The framework will be defined around a collaborative architecture based on a commercial Free and Open-Source Software (FOSS), ARAS Innovator, which supports connecting software tools to develop and define models and its lifecycle. The framework, called Model Lifecycle Management (MLM), has been tested with several aerospace and non-aerospace use cases and is the core software tool supporting the MfM methodology. MfM methodology has been proposed by the authors as a new approach to apply MBSE concepts to Manufacturing, and aims to provide a set of processes, methods and associated tools to support the discipline of manufacturing in a model-based context.",2019
Through-Life Systems Engineering Design & Support with SysML,"New system capability needs have been evaluated based primarily on the product design characteristics. This process neglects the other areas of the system design such as operational availability. The proposed solution takes a more holistic view of system capability identification and trade-off analysis. This solution will consider the combination of both operations and support environments with through-life predictions of the key performance indicators of the various options, while using the systems modelling language (SysML) integrated with SimuLink. This involves using SysML to provide engineering templates, modular assembly of simulation scenarios and a matrix trade-off method using stochastic information.",2013
Preliminary ontology definition for aerospace assembly lines in Airbus using Models for Manufacturing methodology,"During the conceptual design phase of an aerospace assembly line, the Design Solutions that will meet the functional and industrial requirements are defined. As a result it is possible to define an early conceptual design of the assembly line and its basic parameters. Assembly Line Balancing (ALB) comprises ordering of tasks among stations to satisfy precedence constraints. Due to the specific features of an aircraft, such approach is not fully suitable for the case of an aerospace assembly line where the number of stations relates to technological criteria rather than to a calculation aiming to minimize a specific parameter. This paper presents a preliminary ontology definition for aerospace assembly lines in the Airbus context using Model for Manufacturing (MfM) methodology. The authors implement a new approach to characterize mono configured aerospace products. This new approach lets maximum flexibility in the shopfloor implementing the adherence characteristic and is developed using a novel methodology, MfM. The new approach for modelling manufacturing systems has been coined as an extension of the previous authors’ research to introduce MBSE (Model Based Systems Engineering) concepts in manufacturing. A preliminary ontology based on MfM is developed and proposed to represent an aerospace assembly line using the innovative concept of adherence to assembly stations. The model scope is the configuration of the design solutions against manufacturing solutions, and the arrangement of them in a network of networks. The ontology definition is based on the DA08 artifact, used by authors in several researches, supporting the models currently in development and the next steps.",2019
Contextual- and Behavioral-Centric Stakeholder Identification,"Proper identification of stakeholders is the first step to bound the system of interest and ultimately to correctly define the problem of concern. Research has traditionally addressed the process of identifying stakeholders using stakeholder-centric methods such as brainstorming (unstructured or with discipline-specific taxonomies). These approaches are grounded on the idea of listing entities that have a relation to the system and then analyze their mutual relationships so that their relative importance with respect to the system can be assessed. Yet, these methods do not provide any mechanism to ensure completeness and thus introduce a high level of uncertainty in the definition of the problem at the beginning of the system life-cycle. The present research proposes instead a contextual- and behavioral-centric approach for stakeholder identification. Using systems thinking the focus is put on understanding all the underlying relationships, be them complex or simple, of the system within its environment and during its existence by comprehensively modeling its socio-technical context and behavior. As a result stakeholders no longer need to be sought, but they comprehensively emerge out of the holistic understanding of the system.",2013
Structuring Activity Diagrams,"SysML covers a large modeling scope for Systems Engineers. Behavior is adequately described by state machine, sequence, and activity diagrams (completed by parametric constraints). The standard describes these diagrams at the level of elementary graphical objects. Unfortunately, most modeling tools remain at that conceptual level, i.e. graphical objects which are assembled together. In this paper, elementary behaviors are a priori defined and their equivalent described as behavioral construct patterns. The author claims that modeling tools should propose these behavioral constructs in an “insert” policy to let the Systems Engineers remain at the appropriate behavioral modeling level.",2012
Chapter 19 - Deploying SysML in an Organization,"Chapter 19 describes how to introduce the use of MBSE with SysML to an organization and projects as part of an initiative to improve the systems engineering process, methods, tools, and training. The chapter describes an improvement process and elements of a deployment strategy to facilitate a successful transition.",2015
Systems Engineering Management Based on a Discipline-Spanning System Model,"In many current development projects targets concerning time, cost and quality are often not achieved. This is due to the complexity of the product and its engineering processes. The conceivable development of information and communication technology will enable advanced mechatronic systems. Their manifold system functions, the cross-linking of elements within the system and their hardly manageable interactions induce a much higher complexity in the development process and make it much more challenging than today. As approaches of Model Based Systems Engineering (MBSE) get more and more accepted within industry, they can be the foundation for a better management of the product development process. Due to this, we state that model based systems engineering forms the basis for systems engineering management to ensure, that project targets are achieved. In this contribution we point out, how a discipline-spanning system model can be used as the core of system engineering management: We introduce a modelling technique and its utilization for project planning as well as assessment and control. We present approaches for planning operational structures as well as technical reviews and further for measuring development progress and product maturity on different system hierarchy levels, using the information modeled within the system model.",2013
Model-based application of the methodical process for modular lightweight design of aircraft cabins,In this paper the concept of the modular lightweight design as a method to combine the opposing views of lightweight-optimized- and modular product family-design is presented. Therefor specifics of these views are presented based on the use-case of civil aviation and aircraft cabins. Subsequently the concept of modular lightweight design and its concomitant benefits and challenges are outlined as well as the Model-Based Systems Engineering to assist the implementation of the approach into the product development processes for developing the modular hybrid design.,2021
Identification of dependencies between product parameters and process stakeholders,"In today’s mechanical engineering companies, the rising interdisciplinarity of processes and development teams as well as distributed company locations leads to increased production times and more complex product development processes (PDP), although shorter development times are requested. Especially changes, e.g. component optimization or changed customer requirements, as well as parallel sub-processes, require increased planning to make dependencies visible and estimate expenses. When requesting a change to e.g. a component property, it is difficult to identify on the one hand which processes and technical parameters are affected and on the other hand which stakeholders have to be included in the decision making. It is not yet state-of-the art that stakeholders affected by a change in the PDP are identified and notified automatically by the IT-system. Furthermore, it is challenging to identify indirectly connected stakeholders, which are not linked to changing properties or processes, concerning the changes made. In this paper, a methodological approach is presented, that links the technical parameters with the processes and the different stakeholders, using the example of a PDP for light weight composite components. The procedure comprises the implementation of the PDP for light weight composite, including the process-dependent roles, in a product data management (PDM) system. The process structure is then linked to a Model-Based Systems Engineering (MBSE) tool. By building a system model, the product parameters are linked to the processes and roles. Using the established system model, the direct and indirect dependencies between the technical parameters and the stakeholders are visualized.",2021
"""Specification Technique for Virtual Testbeds in Space Robotics""","Systems Development for Space Missions is an engineering challenge that requires a highly integrated systems design approach. Multidisciplinary dependencies, project size, technology novelty, and diverse operational environment conditions increase overall systems complexity. Therefore, systematic validation and verification techniques that consider environmental and operational conditions are crucial for mission success. However, verification and validation of system requirements is hard to achieve under real conditions since physical prototyping tests in space environment are hardly possible. Virtual Testbeds are a promising approach for the early identification of technical risks by simulating the overall system with approximate real conditions, and thus, increase the overall engineering efficiency. They enable early feasibility studies and virtual commissioning of the system during integration phase. The application of virtual testbeds requires not only a formal specification of the System Under Development (SUD) but also a formal Specification Technique for Validation and Verification (V&V). However, existing MBSE approaches provide only poor concepts for a holistic specification of system Test Cases and Virtual Testbeds. In this paper, we propose an integrated Model-Based Specification Technique that facilitates an integrated specification of the system and relevant V&V aspects. We first analyze existing norms like VDI 2206 and ECSS-Std. in order to identify relevant V&V aspects. Second, we describe a specification approach for Virtual Testbeds. Third, we present a modeling language for the specification of those aspects. Finally, we apply the presented technique on an example from the space robotics domain. Our findings show that the presented technique helps to capture relevant V&V aspects according to the existing norms in the space robotics domain. However it is not limited to space and can easily be used for industrial and other complex mechatronic systems.",2018
Integral Management of Process Plants Systems through their Lifecycle using a Model-Based Engineering Approach,"Nowadays we find ourselves in what is called the fourth industrial revolution: Industry 4.0. This revolution is being fostered in many countries to get a more competitive industry. Industry 4.0 target is to make more efficient and flexible plants, reduce times and costs of process and products lifecycle. Under this framework, models appear as a core component in every new development. Model-Based Systems Engineering is a methodology that allows for traceability and guarantees model consistency covering the entire lifecycle of the system. The objective of this work is to develop a holistic model of a process plant. Such model will be available during the entire lifecycle of the system (process+product) communicating in every stage with the specific (existing) tools used to develop it. In this paper, we present the development of the SysML model of a process plant (the production of ethylbenzene from benzene and ethylene), the architecture and the methodology to transform the central model to application-specific ones. We also explain how to execute these specific models from the core model keeping consistency between models and data.",2017
Streamlined best estimate plus uncertainty analysis of a GEN III + BWR for a bottom drain line small break LOCA,"Best Estimate Plus Uncertainty analysis has been used in the design, certification, and safety review of Nuclear Power Plants. To analyze the small break loss of coolant accident of a Generation III + Boiling Water Reactor, a streamlined BEPU method has been established and partially demonstrated to a Bottom Drain Line small break Loss Of Coolant Accident post-test analysis in this investigation. A RELAP5 input model was built for an integral test facility simulating a Generation III + Reactor with passive safety features. The Fast Fourier Transform Based Method was utilized to preliminarily evaluate the accuracy of the code simulation results. The DAKOTA toolkit was utilized to drive uncertainty quantification and sensitivity analysis. The simulation results generally reproduce the experimental phenomenon observed during experiments. The uncertainty bands of output parameters were established to demonstrate the enclosing of experimental data and the safety margin according to the design limits.",2023
Towards the systematic analysis of non-functional properties in Model-Based Engineering for real-time embedded systems,"The real-time scheduling theory provides analytical methods to assess the temporal predictability of embedded systems. Nevertheless, their use is limited in a Model-Based Systems Engineering approach. In fact, the large number of applicability conditions makes the use of real-time scheduling analysis tedious and error-prone. Key issues are left to the engineers: when to apply a real-time scheduling analysis? What to do with the analysis results? This article presents an approach to systematize and then automate the analysis of non-functional properties in Model-Based Systems Engineering. First, preconditions and postconditions define the applicability of an analysis. In addition, contracts specify the analysis interfaces, thereby enabling to reason about the analysis process. We present a proof-of-concept implementation of our approach using a combination of constraint languages (REAL for run-time analysis) and specification languages (Alloy for describing interfaces and reasoning about them). This approach is experimented on architectural models written with the Architecture Analysis and Design Language (AADL).",2018
Impact and risk analysis in the integrated development of product and production system,"The assessment of risks and influences of engineering changes of a product or production system on affected technical (sub-) systems of the same or a different domain are of great importance in order to evaluate possible alternatives and to select solutions. The increasing complexity of mechatronic products and production systems with Industry 4.0 technology reinforces the demand for a method that supports engineers in decision making in both technical and strategic issues. By using the method presented in this contribution, interdependencies between product functions, product features and the corresponding production processes and machines can be modelled and used to estimate the impact and risks of changes in one of those domains. Using the method, the change propagation of variations in and between the domains can be evaluated. The objective of the method is to support decision making in different use-cases like integrated product- and production system development, product variations while carrying over most of the production system or varying production processes while carrying over the product to improve production key performance indicators (KPI). Based on the model of PGE – Product Generation Engineering, the information of the reference system is used to identify the interdependencies. The inclusion of strategic factors like know-how and costs is implemented in the model, as well as the quantity and type of variations. The method consists of a representative model for a quick, holistic overview about the interdependencies and of a tool based model by using Model-Based Systems Engineering (MBSE) for an automatic connection and evaluation of the data. The contribution is part of the project I4TP - Sino German Industry 4.0 Factory Automation Platform (i4tp.org), in which a platform is developed to automatically configure a turnkey production system for a product in development.",2020
Exploiting Architectural Communities in Early Life Cycle Cost Estimation,"System architectures evolve over time. Accordingly, the dynamic properties of architectures reflect how systems respond to change, and this response ultimately impacts cost. In prior work we make an explicit connection between the architectural diagrams of Model-Based Systems Engineering (MBSE), parametric cost estimation, and network science. Specifically, by treating the DoD Architecture Framework (DoDAF) Systems View 3 (SV3) as an adjacency matrix, we assess how the addition of a new subsystem to an immature architecture might grow the existing network. With the subsequent application of parametric cost modeling, we translate anticipated growth into expected cost, thereby quantifying the impact of change. This paper refines that approach. In particular, by using the Girvan-Newman algorithm, the SV3 is initially divided into groups of subsystems such that the number of interfaces is dense within and sparse between groups. Based on this division into “architectural communities” and the prevalence of bridging ties, interfaces generated by the addition of a new subsystem can be faithfully integrated into the existing architecture, adding validity to our growth mechanism. This procedure is illustrated in detail with an example that highlights the importance of this refinement, and it is incorporated within a Monte Carlo simulation that allows the distribution of future costs to be estimated and assessed.",2014
"Need Finding for the Development of a Conceptional, Engineering- Driven Framework for Improved Product Documentation","Engineering companies that develop advanced products in multi-disciplinary new product development (NPD) teams, have difficulties in managing, communicating, and (re)using knowledge in and between NPD projects. Information is lost due to team dynamics, inappropriate documentation and methods, resulting in unnecessary design iterations, repeated problem-solving, lack of effectiveness and value, and low financial performance. It is, therefore, desirable to develop a documentation model that can be integrated into different engineering processes and used to effectively communicate product information within a single project and between projects, combining strategies from product design methodology, model-based systems engineering, and lean development. It is necessary to combine the most recent product (systems) engineering methods with the understanding of problems and needs in industrial environments where they shall be applied. This paper presents results of need finding in four companies using a semi-structured interview approach to gain insight into problems associated with product documentation. The findings are turned into a conceptual engineering-driven product documentation framework, which links documentation to the product architecture using knowledge-brief (A3) type documentation strategies from lean execution environments.",2013
Towards Effective Management of Inconsistencies in Model-Based Engineering of Automated Production Systems,"The development of automated production systems requires the collaborative effort of a variety of stakeholders from different disciplines. In model-based systems engineering, stakeholders address their specific concerns by forming a number of views using models. Because of the multidisciplinary nature of automated production systems, a variety of modelling languages, formalisms and tools is typically employed. Nevertheless, the aggregation of models is nowadays limited by the communication between stakeholders and interdisciplinary understanding. Therefore, in order to achieve a positive outcome of the design process it is crucial that the models are free of inconsistencies. As a first step, this paper describes challenges related to managing inconsistencies in models of systems from the domain of automated production systems. A conceptual approach that uses semantic web technologies and a technology demonstrator illustrating the technical viability of the approach are shown. Finally, requirements for a discipline-spanning inconsistency management framework are derived based on the presented challenges and initial findings from applying the approach to a demonstration case.",2015
Supporting Decision Makers with Use Cases; Case Study Results,"The benefits of defining Use Cases to support systems development, particularly during the early stages of the lifecycle, is well established in both software and systems engineering. The effective implementation of Use Cases to support stakeholder decision making during system development tends to be uneven, particularly for non-technical decision makers. This paper presents three case studies where Use Cases were developed and successfully used to support a variety of stakeholders in their decision making, two of which featured simulations of the Use Cases. This paper highlights aspects of Use Case development that were most useful to decision makers, what was not as useful, and finally recommends several areas for future research. The goal is not to present a tutorial on Use Case development. Rather, it is to identify factors that developers can consider during Use Case development to better support system visualization and decision making.",2019
Using SysML to Support Impact Analysis on Structural Dynamics Simulation Models,"Changes during the product development process pose a high risk of unexpected high implementation effort. To reduce this risk, the impact of engineering changes have to be estimated in advance before their implementation. However, in large systems, the numerous interdependencies often create challenges to the approximation of the implementation effort by inducing complex interdependencies which are often not easy to identify from the start. This paper therefore proposes a method to quickly determine change efforts of complex systems. To be able to estimate change efforts, the dependencies between system components have to be mapped together with their corresponding modeling effort (e.g. modeling time). The SysML (System Modeling Language) system model is a powerful tool to support this process as it offers the possibility of a very individual and versatile data storage. Furthermore, specific data (e.g. calculation time) can quickly be identified with algorithm such as “metachain navigation”. We propose in this paper to use a SysML system model for an advanced documentation of the product and construction structure to be carried out in parallel to the modeling process of a system simulation model (in this case finite-element- and multi-body-simulation). Assemblies and associated components are represented by the product structure, while the construction structure represents the force flow between two components. Furthermore, in SysML individual data, e.g. modeling time and calculation time, is stored in an instance that is connected to a specific component or assembly. As a demonstration example, the approach is shown on a structural dynamic analysis of a powertrain with seven subassemblies and over 100 components. Following the proposed method, the effort of a specific component change of the powertrain can be estimated quickly due to the stored data in the system model.",2021
Formal Framework for Discrete-Event Simulation,"A formal framework for modelling and simulation of parallel systems named ProjectDEVS is presented. The objective of this framework is to apply a Model-Based System Engineering approach to the development of simulation products for cyber-physical embedded systems. It is intended for the design and automated deployment of virtual prototypes. Models are constructed by coupling concurrent components exchanging data through ports and executed by various simulation schemes, namely simulators. This paper focuses on the integration of a Time Petri Net implementation of a parallel simulator into the framework. The semantics of the parallel simulator is formally described using timed transition system to verify the correctness of the implementation. Then, a model with its simulator can be model checked against formal specification and be rapidly deployed on FPGA or PC via code generators.",2017
"Mercury: A modeling, simulation, and optimization framework for data stream-oriented IoT applications","The Internet of Things is transforming our society by monitoring users and infrastructures’ behavior to enable new services that will improve life quality and resource management. These applications require a vast amount of localized information to be processed in real-time so, the deployment of new fog computing infrastructures that bring computing closer to the data sources is a major concern. In this context, we present Mercury, a Modeling, Simulation, and Optimization (M&S&O) framework to analyze the dimensioning and the dynamic operation of real-time fog computing scenarios. Our research proposes a location-aware solution that supports data stream analytics applications including FaaS-based computation offloading. Mercury implements a detailed structural and behavioral simulation model, providing fine-grained simulation outputs, and is described using the Discrete Event System Specification (DEVS) mathematical formalism, helping to validate the model’s implementation. Finally, we present a case study using real traces from a driver assistance scenario, offering a detailed comparison with other state-of-the-art simulators.",2020
An Object-oriented and Executable SysML Framework for Rapid Model Development,"This paper introduces Cortex, a new framework to develop object-oriented and executable SysML models using the IPython Notebook4. The framework strives to create a succinct and intuitive Python programming interface for SysML models, and integrate it with OpenMDAO (a Multi-disciplinary Design, Analysis and Optimization framework being developed by NASA Glenn Research Center). Data persists in MongoDB, with a Resource Description Framework (RDF) cache for semantic querying. The models can be exposed to custom web-based applications through a Representational State Transfer (REST) interface. The authors strive to create a foundational framework on which to be able to build more advanced system engineering and decision support tools. All the tools and libraries leveraged in this effort are open source software (OSS), and whenever possible, the authors selected technologies with the most permissive licenses.",2015
Supporting product design decision with a SysML design history Assistant,"With products reaching the whole world and being sold by thousands or millions the responsibility of designers has never been higher. A design mistake can cause - among others - physical damages, high costs or pollution of diverse types. Each mistake has consequences, whether before or after sale to various actors (manufacturing company, users, recycling company, etc.) and has to be avoided. Research is starting to integrate environmental impacts within the Model-Based Systems Engineering (MBSE) approach and particularly within System Modeling Language (SysML) as a tool to foresee design decisions according to previous gained knowledge. Following this, the research holds on existing foundations and proposes to extend current research efforts into a new SysML Assistant to capture the essence of product design and thereby support product development decisions. This paper focuses on the first part of the research, proposing design principles and warnings from requirements via the SysML Assistant. When facing a decision, designers can question the Assistant about examples of what had been designed before in similar or different domains. Depending on the request, designers receive, a formatted object containing several solutions or design principles (requirements, specification, use cases, test cases, warnings) for possible implementation. Various benefits are foreseen with the proposed research. First, a reduced design development time with an increased quality of products in the long term. Second, a reduction of product environmental impacts as well as repeated design mistakes. Third, an incentive to designers competitivity to achieve better design.",2020
AADL-Based safety analysis using formal methods applied to aircraft digital systems,"Model-based engineering tools are increasingly being used for system-level development of safety-critical systems. Architectural and behavioral models provide important information that can be leveraged to improve the system safety analysis process. Model-based design artifacts produced in early stage development activities can be used to perform system safety analysis, reducing costs, and providing accurate results throughout the system life-cycle. In this paper we describe an extension to the Architecture Analysis and Design Language (AADL) that supports modeling of system behavior under failure conditions. This safety annex enables the independent modeling of component failures and allows safety engineers to weave various types of fault behavior into the nominal system model. The accompanying tool support uses model checking to verify safety properties in the presence of faults and comprehensively enumerate all applicable fault combinations leading to failure conditions under quantitative objectives as part of the safety assessment process. The approach allows exploration of the effects of faulty component behavior on system level failure conditions without requiring explicit propagation specifications. It also supports a shared system model, a modeling language that can describe real-time embedded systems, and usable safety analysis artifacts.",2021
Heterogeneous models to Support Interdisciplinary Engineering - Mapping Model Elements of SysML and CAD,"A successful development of mechatronic systems need both domain specific as domain independent engineering models and approaches. The interface between domain specific and domain independent engineering often represents a possible source for failures and inconsistencies. Within this paper, this interface will be addressed by introducing heterogeneous models based on linked SysML and CAD model elements. Therefore a mapping of SysML and CAD elements will be presented and refined for the development of heterogeneous models. Furthermore, a technical concept for linkage of SysML and CAD models to ensure model consistency will be illustrated and an exemplary heterogeneous model will be visualized. In addition, future research targets and fields will be listed.",2022
Increasing System Failure Analysis Effectiveness Through Architecture Modeling,"This research demonstrated that the quality of the classic Fault Tree Analysis (FTA) method could be improved through the use of system architecture models. While existing work demonstrates use of simplified system models in FTA using methods that combine existing tools, this research uniquely addresses the value of using a single tool to generate stochastic behavior models of more complex systems, together with their normal and failure mode events, from existing system specification documents. Use of a single tool is desirable for organizations wishing to limit investment and simplify management of architecture data and analysis. The Innoslate tool is used show how classic failure analysis methods such as FTA can be emulated in the Model Based System Engineering (MBSE) design process. For a simple demonstration example, a fault tree is distilled from behavior models captured in action diagrams. A comparison of the classic FTA approach with the model based approach shows potential for increase in failure analysis accuracy and efficiency.",2017
